category,dates,value
최고기온(℃),1962-07-24,34.2
최저기온(℃),1962-07-24,23.2
최고기온(℃),1962-07-25,35.0
최저기온(℃),1962-07-25,25.8
최고기온(℃),1962-07-26,34.7
최저기온(℃),1962-07-26,25.4
최고기온(℃),1962-07-27,32.9
최저기온(℃),1962-07-27,25.1
최고기온(℃),1962-07-28,27.2
최저기온(℃),1962-07-28,24.4
최고기온(℃),1962-07-29,25.8
최저기온(℃),1962-07-29,24.4
최고기온(℃),1962-07-30,30.4
최저기온(℃),1962-07-30,25.0
최고기온(℃),1962-07-31,32.2
최저기온(℃),1962-07-31,24.8
최고기온(℃),1962-08-01,30.4
최저기온(℃),1962-08-01,24.9
최고기온(℃),1962-08-02,28.0
최저기온(℃),1962-08-02,23.3
최고기온(℃),1962-08-03,28.0
최저기온(℃),1962-08-03,22.3
최고기온(℃),1962-08-04,30.4
최저기온(℃),1962-08-04,23.6
최고기온(℃),1962-08-05,28.4
최저기온(℃),1962-08-05,22.8
최고기온(℃),1962-08-06,28.8
최저기온(℃),1962-08-06,22.9
최고기온(℃),1962-08-07,31.1
최저기온(℃),1962-08-07,24.1
최고기온(℃),1962-08-08,26.9
최저기온(℃),1962-08-08,22.3
최고기온(℃),1962-08-09,28.7
최저기온(℃),1962-08-09,22.6
최고기온(℃),1962-08-10,30.4
최저기온(℃),1962-08-10,22.2
최고기온(℃),1962-08-11,32.5
최저기온(℃),1962-08-11,22.5
최고기온(℃),1962-08-12,33.1
최저기온(℃),1962-08-12,22.2
최고기온(℃),1962-08-13,32.4
최저기온(℃),1962-08-13,22.4
최고기온(℃),1962-08-14,29.0
최저기온(℃),1962-08-14,23.8
최고기온(℃),1962-08-15,27.4
최저기온(℃),1962-08-15,23.3
최고기온(℃),1962-08-16,26.6
최저기온(℃),1962-08-16,22.0
최고기온(℃),1962-08-17,27.5
최저기온(℃),1962-08-17,21.8
최고기온(℃),1962-08-18,29.9
최저기온(℃),1962-08-18,22.5
최고기온(℃),1962-08-19,30.0
최저기온(℃),1962-08-19,23.5
최고기온(℃),1962-08-20,30.9
최저기온(℃),1962-08-20,22.4
최고기온(℃),1962-08-21,32.1
최저기온(℃),1962-08-21,22.1
최고기온(℃),1962-08-22,31.2
최저기온(℃),1962-08-22,23.7
최고기온(℃),1962-08-23,30.8
최저기온(℃),1962-08-23,23.1
최고기온(℃),1962-08-24,26.4
최저기온(℃),1962-08-24,20.8
최고기온(℃),1962-08-25,28.3
최저기온(℃),1962-08-25,21.2
최고기온(℃),1962-08-26,29.2
최저기온(℃),1962-08-26,21.0
최고기온(℃),1962-08-27,22.8
최저기온(℃),1962-08-27,21.0
최고기온(℃),1962-08-28,28.1
최저기온(℃),1962-08-28,21.5
최고기온(℃),1962-08-29,29.0
최저기온(℃),1962-08-29,20.0
최고기온(℃),1962-08-30,27.8
최저기온(℃),1962-08-30,19.7
최고기온(℃),1962-08-31,27.8
최저기온(℃),1962-08-31,22.0
최고기온(℃),1962-09-01,27.0
최저기온(℃),1962-09-01,20.2
최고기온(℃),1962-09-02,22.7
최저기온(℃),1962-09-02,19.4
최고기온(℃),1962-09-03,28.0
최저기온(℃),1962-09-03,20.2
최고기온(℃),1962-09-04,27.9
최저기온(℃),1962-09-04,20.0
최고기온(℃),1962-09-05,28.7
최저기온(℃),1962-09-05,21.3
최고기온(℃),1962-09-06,22.0
최저기온(℃),1962-09-06,19.2
최고기온(℃),1962-09-07,29.8
최저기온(℃),1962-09-07,19.5
최고기온(℃),1962-09-08,26.3
최저기온(℃),1962-09-08,18.2
최고기온(℃),1962-09-09,25.2
최저기온(℃),1962-09-09,16.3
최고기온(℃),1962-09-10,27.1
최저기온(℃),1962-09-10,14.0
최고기온(℃),1962-09-11,27.0
최저기온(℃),1962-09-11,19.0
최고기온(℃),1962-09-12,23.0
최저기온(℃),1962-09-12,18.0
최고기온(℃),1962-09-13,22.8
최저기온(℃),1962-09-13,17.3
최고기온(℃),1962-09-14,27.5
최저기온(℃),1962-09-14,18.2
최고기온(℃),1962-09-15,28.6
최저기온(℃),1962-09-15,17.5
최고기온(℃),1962-09-16,23.2
최저기온(℃),1962-09-16,16.8
최고기온(℃),1962-09-17,21.2
최저기온(℃),1962-09-17,16.3
최고기온(℃),1962-09-18,25.1
최저기온(℃),1962-09-18,16.5
최고기온(℃),1962-09-19,24.4
최저기온(℃),1962-09-19,18.8
최고기온(℃),1962-09-20,26.5
최저기온(℃),1962-09-20,17.5
최고기온(℃),1962-09-21,27.6
최저기온(℃),1962-09-21,16.7
최고기온(℃),1962-09-22,26.0
최저기온(℃),1962-09-22,15.6
최고기온(℃),1962-09-23,24.3
최저기온(℃),1962-09-23,17.1
최고기온(℃),1962-09-24,21.1
최저기온(℃),1962-09-24,12.8
최고기온(℃),1962-09-25,21.7
최저기온(℃),1962-09-25,11.9
최고기온(℃),1962-09-26,22.7
